time,Thermo Ch 5,Heater Ch 1
2026-05-05 16:36:00+00,2.890000000000043,0
2026-05-05 16:36:01+00,2.8799999999999955,0
2026-05-05 16:36:02+00,2.8799999999999955,0
2026-05-05 16:36:03+00,2.8700000000000045,0
2026-05-05 16:36:04+00,2.8700000000000045,0
2026-05-05 16:36:05+00,2.8700000000000045,0
2026-05-05 16:36:06+00,2.8700000000000045,0
2026-05-05 16:36:07+00,2.8600000000000136,0
2026-05-05 16:36:08+00,2.8600000000000136,0
2026-05-05 16:36:09+00,2.8500000000000227,0
2026-05-05 16:36:10+00,2.8500000000000227,0
2026-05-05 16:36:11+00,2.840000000000032,0
2026-05-05 16:36:12+00,2.830000000000041,0
2026-05-05 16:36:13+00,2.830000000000041,0
2026-05-05 16:36:14+00,2.82000000000005,0
2026-05-05 16:36:15+00,2.82000000000005,0
2026-05-05 16:36:16+00,2.8100000000000023,0
2026-05-05 16:36:17+00,2.8100000000000023,0
2026-05-05 16:36:18+00,2.8000000000000114,0
2026-05-05 16:36:19+00,2.7900000000000205,0
2026-05-05 16:36:20+00,2.7900000000000205,0
2026-05-05 16:36:21+00,2.7800000000000296,
2026-05-05 16:36:22+00,2.7800000000000296,46.943
2026-05-05 16:36:23+00,2.7800000000000296,48.324
2026-05-05 16:36:24+00,2.8000000000000114,48.186
2026-05-05 16:36:25+00,2.82000000000005,48.036
2026-05-05 16:36:26+00,2.8799999999999955,47.394
2026-05-05 16:36:27+00,2.9399999999999977,32.592
2026-05-05 16:36:28+00,3.0200000000000387,12.055
2026-05-05 16:36:29+00,3.1200000000000045,0
2026-05-05 16:36:30+00,3.2200000000000273,0
2026-05-05 16:36:31+00,3.3100000000000023,0
2026-05-05 16:36:32+00,3.390000000000043,0
2026-05-05 16:36:33+00,3.4700000000000273,0.128
2026-05-05 16:36:34+00,3.5200000000000387,3.061
2026-05-05 16:36:35+00,3.57000000000005,25.611
2026-05-05 16:36:36+00,3.6100000000000136,25.619
2026-05-05 16:36:37+00,3.640000000000043,19.06
2026-05-05 16:36:38+00,3.680000000000007,38.53
2026-05-05 16:36:39+00,3.7200000000000273,32.987
2026-05-05 16:36:40+00,3.7600000000000477,32.908
2026-05-05 16:36:41+00,3.82000000000005,28.435
2026-05-05 16:36:42+00,3.8799999999999955,22.091
