time,Thermo Ch 5,Heater Ch 1
2026-05-05 14:17:54+00,4.25,0
2026-05-05 14:17:55+00,4.25,0
2026-05-05 14:17:56+00,4.25,0
2026-05-05 14:17:57+00,4.25,0
2026-05-05 14:17:58+00,4.25,0
2026-05-05 14:17:59+00,4.25,0
2026-05-05 14:18:00+00,4.25,0
2026-05-05 14:18:01+00,4.25,0
2026-05-05 14:18:02+00,4.25,0
2026-05-05 14:18:03+00,4.240000000000009,0
2026-05-05 14:18:04+00,4.240000000000009,0
2026-05-05 14:18:05+00,4.240000000000009,0
2026-05-05 14:18:06+00,4.240000000000009,0
2026-05-05 14:18:07+00,4.240000000000009,0
2026-05-05 14:18:08+00,4.240000000000009,0
2026-05-05 14:18:09+00,4.230000000000018,0
2026-05-05 14:18:10+00,4.230000000000018,0
2026-05-05 14:18:11+00,4.230000000000018,0
2026-05-05 14:18:12+00,4.220000000000027,0
2026-05-05 14:18:13+00,4.220000000000027,0
2026-05-05 14:18:14+00,4.220000000000027,0
2026-05-05 14:18:15+00,4.220000000000027,0
2026-05-05 14:18:16+00,4.210000000000036,0
2026-05-05 14:18:17+00,4.210000000000036,0
2026-05-05 14:18:18+00,4.210000000000036,0
2026-05-05 14:18:19+00,4.210000000000036,0
2026-05-05 14:18:20+00,4.210000000000036,0
2026-05-05 14:18:21+00,4.2000000000000455,0
2026-05-05 14:18:22+00,4.2000000000000455,0
2026-05-05 14:18:23+00,4.2000000000000455,0
2026-05-05 14:18:24+00,4.2000000000000455,0
2026-05-05 14:18:25+00,4.2000000000000455,0
2026-05-05 14:18:26+00,4.189999999999998,0
2026-05-05 14:18:27+00,4.189999999999998,0
2026-05-05 14:18:28+00,4.2000000000000455,0
2026-05-05 14:18:29+00,4.189999999999998,0
2026-05-05 14:18:30+00,4.180000000000007,24.588
2026-05-05 14:18:31+00,4.189999999999998,24.552
2026-05-05 14:18:32+00,4.210000000000036,24.468
2026-05-05 14:18:33+00,4.240000000000009,22.414
2026-05-05 14:18:34+00,4.2900000000000205,19.43
2026-05-05 14:18:35+00,4.360000000000014,19.397
2026-05-05 14:18:36+00,4.439999999999998,11.747
2026-05-05 14:18:37+00,4.53000000000003,0
2026-05-05 14:18:38+00,4.6299999999999955,0
2026-05-05 14:18:39+00,4.720000000000027,0
2026-05-05 14:18:40+00,4.800000000000011,0
2026-05-05 14:18:41+00,4.8700000000000045,0.002
2026-05-05 14:18:42+00,4.939999999999998,2.839
2026-05-05 14:18:43+00,4.990000000000009,4.674
2026-05-05 14:18:44+00,5.03000000000003,10.158
2026-05-05 14:18:45+00,5.07000000000005,14.801
2026-05-05 14:18:46+00,5.100000000000023,15.059
2026-05-05 14:18:47+00,5.140000000000043,17.597
2026-05-05 14:18:48+00,5.180000000000007,14.644
2026-05-05 14:18:49+00,5.230000000000018,12.429
2026-05-05 14:18:50+00,5.2900000000000205,15.291
2026-05-05 14:18:51+00,5.350000000000023,8.156
2026-05-05 14:18:52+00,5.410000000000025,6.75
2026-05-05 14:18:53+00,5.480000000000018,3.848
2026-05-05 14:18:54+00,5.550000000000011,7.087
2026-05-05 14:18:55+00,5.610000000000014,0
2026-05-05 14:18:56+00,5.670000000000016,0.008
2026-05-05 14:18:57+00,5.710000000000036,9.819
2026-05-05 14:18:58+00,5.760000000000048,9.792
2026-05-05 14:18:59+00,5.7900000000000205,13.108
