time,Thermo Ch 5,Heater Ch 1
2026-05-06 11:01:00+00,16.840000000000032,0
2026-05-06 11:01:01+00,16.840000000000032,0
2026-05-06 11:01:02+00,16.840000000000032,0
2026-05-06 11:01:03+00,16.83000000000004,0
2026-05-06 11:01:04+00,16.83000000000004,0
2026-05-06 11:01:05+00,16.840000000000032,0
2026-05-06 11:01:06+00,16.83000000000004,0
2026-05-06 11:01:07+00,16.83000000000004,0
2026-05-06 11:01:08+00,16.83000000000004,0
2026-05-06 11:01:09+00,16.83000000000004,0
2026-05-06 11:01:10+00,16.83000000000004,0
2026-05-06 11:01:11+00,16.82000000000005,0
2026-05-06 11:01:12+00,16.83000000000004,0
2026-05-06 11:01:13+00,16.810000000000002,0
2026-05-06 11:01:14+00,16.83000000000004,0
2026-05-06 11:01:15+00,16.82000000000005,0
2026-05-06 11:01:16+00,16.810000000000002,0
2026-05-06 11:01:17+00,16.82000000000005,0
2026-05-06 11:01:18+00,16.82000000000005,0
2026-05-06 11:01:19+00,16.810000000000002,0
2026-05-06 11:01:20+00,16.810000000000002,0
2026-05-06 11:01:21+00,16.80000000000001,0
2026-05-06 11:01:22+00,16.810000000000002,0
2026-05-06 11:01:23+00,16.810000000000002,0
2026-05-06 11:01:24+00,16.810000000000002,0
2026-05-06 11:01:25+00,16.80000000000001,0
2026-05-06 11:01:26+00,16.80000000000001,0
2026-05-06 11:01:27+00,16.810000000000002,0
2026-05-06 11:01:28+00,16.82000000000005,0
2026-05-06 11:01:29+00,16.810000000000002,24.534
2026-05-06 11:01:30+00,16.810000000000002,24.312
2026-05-06 11:01:31+00,16.82000000000005,24.216
2026-05-06 11:01:32+00,16.840000000000032,24.049
2026-05-06 11:01:33+00,16.870000000000005,22.583
2026-05-06 11:01:34+00,16.930000000000007,19.028
2026-05-06 11:01:35+00,17,14.81
2026-05-06 11:01:36+00,17.090000000000032,10.104
2026-05-06 11:01:37+00,17.180000000000007,0
2026-05-06 11:01:38+00,17.28000000000003,0
2026-05-06 11:01:39+00,17.379999999999995,0
2026-05-06 11:01:40+00,17.460000000000036,0
2026-05-06 11:01:41+00,17.54000000000002,0.002
2026-05-06 11:01:42+00,17.600000000000023,0.789
2026-05-06 11:01:43+00,17.650000000000034,0.441
2026-05-06 11:01:44+00,17.689999999999998,11.264
2026-05-06 11:01:45+00,17.730000000000018,11.508
2026-05-06 11:01:46+00,17.760000000000048,15.19
2026-05-06 11:01:47+00,17.79000000000002,18.077
2026-05-06 11:01:48+00,17.82000000000005,19.66
2026-05-06 11:01:49+00,17.860000000000014,12.492
2026-05-06 11:01:50+00,17.920000000000016,14.572
2026-05-06 11:01:51+00,17.970000000000027,14.081
2026-05-06 11:01:52+00,18.03000000000003,9.903
2026-05-06 11:01:53+00,18.100000000000023,8.155
2026-05-06 11:01:54+00,18.180000000000007,0
2026-05-06 11:01:55+00,18.230000000000018,0
2026-05-06 11:01:56+00,18.30000000000001,0.006
2026-05-06 11:01:57+00,18.350000000000023,2.958
2026-05-06 11:01:58+00,18.400000000000034,5.481
2026-05-06 11:01:59+00,18.450000000000045,10.788
2026-05-06 11:02:00+00,18.470000000000027,9.703
2026-05-06 11:02:01+00,18.5,10.129
2026-05-06 11:02:02+00,18.53000000000003,16.305
2026-05-06 11:02:03+00,18.57000000000005,19.35
2026-05-06 11:02:04+00,18.590000000000032,12.104
2026-05-06 11:02:05+00,18.629999999999995,17.836
2026-05-06 11:02:06+00,18.680000000000007,11.79
2026-05-06 11:02:07+00,18.730000000000018,10.728
2026-05-06 11:02:08+00,18.78000000000003,4.902
2026-05-06 11:02:09+00,18.83000000000004,6.308
2026-05-06 11:02:10+00,18.890000000000043,7.658
2026-05-06 11:02:11+00,18.939999999999998,2.468
2026-05-06 11:02:12+00,19,2.394
2026-05-06 11:02:13+00,19.03000000000003,6.692
2026-05-06 11:02:14+00,19.07000000000005,8.719
2026-05-06 11:02:15+00,19.090000000000032,8.641
2026-05-06 11:02:16+00,19.110000000000014,12.115
2026-05-06 11:02:17+00,19.129999999999995,11.999
2026-05-06 11:02:18+00,19.160000000000025,15.551
2026-05-06 11:02:19+00,19.189999999999998,11.763
2026-05-06 11:02:20+00,19.210000000000036,11.94
2026-05-06 11:02:21+00,19.25,8.992
2026-05-06 11:02:22+00,19.29000000000002,11.784
2026-05-06 11:02:23+00,19.33000000000004,11.922
2026-05-06 11:02:24+00,19.370000000000005,7.833
2026-05-06 11:02:25+00,19.400000000000034,0
2026-05-06 11:02:26+00,19.450000000000045,0.008
2026-05-06 11:02:27+00,19.470000000000027,5.627
2026-05-06 11:02:28+00,19.510000000000048,5.484
2026-05-06 11:02:29+00,19.55000000000001,9.505
2026-05-06 11:02:30+00,19.57000000000005,9.362
2026-05-06 11:02:31+00,19.58000000000004,8.327
2026-05-06 11:02:32+00,19.600000000000023,8.17
2026-05-06 11:02:33+00,19.629999999999995,14.442
2026-05-06 11:02:34+00,19.640000000000043,8.087
2026-05-06 11:02:35+00,19.650000000000034,15.086
2026-05-06 11:02:36+00,19.680000000000007,14.159
2026-05-06 11:02:37+00,19.720000000000027,7.886
2026-05-06 11:02:38+00,19.730000000000018,9.488
2026-05-06 11:02:39+00,19.77000000000004,10.493
2026-05-06 11:02:40+00,19.810000000000002,9.469
2026-05-06 11:02:41+00,19.83000000000004,3.58
2026-05-06 11:02:42+00,19.850000000000023,6.792
2026-05-06 11:02:43+00,19.879999999999995,9.408
2026-05-06 11:02:44+00,19.910000000000025,8.972
2026-05-06 11:02:45+00,19.920000000000016,2.069
2026-05-06 11:02:46+00,19.930000000000007,8.448
2026-05-06 11:02:47+00,19.950000000000045,4.516
2026-05-06 11:02:48+00,19.970000000000027,8.04
2026-05-06 11:02:49+00,19.99000000000001,11.388
2026-05-06 11:02:50+00,20,7.734
2026-05-06 11:02:51+00,20,11.443
2026-05-06 11:02:52+00,20.010000000000048,13.75
2026-05-06 11:02:53+00,20.03000000000003,11.108
2026-05-06 11:02:54+00,20.05000000000001,9.749
2026-05-06 11:02:55+00,20.07000000000005,10.969
2026-05-06 11:02:56+00,20.08000000000004,6.735
2026-05-06 11:02:57+00,20.110000000000014,5.524
2026-05-06 11:02:58+00,20.129999999999995,2.738
2026-05-06 11:02:59+00,20.150000000000034,6.109
2026-05-06 11:03:00+00,20.170000000000016,5.997
2026-05-06 11:03:01+00,20.189999999999998,1.501
2026-05-06 11:03:02+00,20.200000000000045,8.234
2026-05-06 11:03:03+00,20.200000000000045,4.709
2026-05-06 11:03:04+00,20.210000000000036,12.047
2026-05-06 11:03:05+00,20.210000000000036,9.446
2026-05-06 11:03:06+00,20.220000000000027,8.31
2026-05-06 11:03:07+00,20.230000000000018,10.706
2026-05-06 11:03:08+00,20.230000000000018,11.565
2026-05-06 11:03:09+00,20.24000000000001,8.268
2026-05-06 11:03:10+00,20.24000000000001,8.917
2026-05-06 11:03:11+00,20.260000000000048,3.594
2026-05-06 11:03:12+00,20.28000000000003,7.242
2026-05-06 11:03:13+00,20.310000000000002,0
2026-05-06 11:03:14+00,20.29000000000002,0.067
2026-05-06 11:03:15+00,20.32000000000005,6.074
2026-05-06 11:03:16+00,20.33000000000004,2.291
2026-05-06 11:03:17+00,20.340000000000032,5.713
2026-05-06 11:03:18+00,20.340000000000032,5.638
2026-05-06 11:03:19+00,20.340000000000032,9.16
2026-05-06 11:03:20+00,20.350000000000023,9.17
2026-05-06 11:03:21+00,20.350000000000023,9.051
2026-05-06 11:03:22+00,20.340000000000032,8.942
2026-05-06 11:03:23+00,20.340000000000032,11.086
2026-05-06 11:03:24+00,20.350000000000023,8.75
2026-05-06 11:03:25+00,20.360000000000014,4.916
2026-05-06 11:03:26+00,20.370000000000005,4.581
2026-05-06 11:03:27+00,20.370000000000005,4.339
