time,Thermo Ch 5,Heater Ch 1
2026-05-05 12:50:00+00,11.629999999999995,0
2026-05-05 12:50:01+00,11.629999999999995,0
2026-05-05 12:50:02+00,11.620000000000005,0
2026-05-05 12:50:03+00,11.620000000000005,0
2026-05-05 12:50:04+00,11.629999999999995,0
2026-05-05 12:50:05+00,11.620000000000005,0
2026-05-05 12:50:06+00,11.620000000000005,0
2026-05-05 12:50:07+00,11.620000000000005,0
2026-05-05 12:50:08+00,11.610000000000014,0
2026-05-05 12:50:09+00,11.620000000000005,0
2026-05-05 12:50:10+00,11.620000000000005,0
2026-05-05 12:50:11+00,11.610000000000014,0
2026-05-05 12:50:12+00,11.610000000000014,0
2026-05-05 12:50:13+00,11.610000000000014,0
2026-05-05 12:50:14+00,11.610000000000014,0
2026-05-05 12:50:15+00,11.600000000000023,0
2026-05-05 12:50:16+00,11.600000000000023,0
2026-05-05 12:50:17+00,11.600000000000023,0
2026-05-05 12:50:18+00,11.600000000000023,0
2026-05-05 12:50:19+00,11.600000000000023,0
2026-05-05 12:50:20+00,11.590000000000032,0
2026-05-05 12:50:21+00,11.590000000000032,0
2026-05-05 12:50:22+00,11.590000000000032,0
2026-05-05 12:50:23+00,11.590000000000032,0
2026-05-05 12:50:24+00,11.590000000000032,0
2026-05-05 12:50:25+00,11.590000000000032,0
2026-05-05 12:50:26+00,11.590000000000032,0
2026-05-05 12:50:27+00,11.590000000000032,0
2026-05-05 12:50:28+00,11.580000000000041,0
2026-05-05 12:50:29+00,11.580000000000041,24.319
2026-05-05 12:50:30+00,11.57000000000005,24.996
2026-05-05 12:50:31+00,11.57000000000005,24.996
2026-05-05 12:50:32+00,11.560000000000002,24.996
2026-05-05 12:50:33+00,11.560000000000002,24.996
2026-05-05 12:50:34+00,11.560000000000002,24.996
2026-05-05 12:50:35+00,11.560000000000002,24.828
2026-05-05 12:50:36+00,11.560000000000002,24.804
2026-05-05 12:50:37+00,11.560000000000002,24.756
2026-05-05 12:50:38+00,11.550000000000011,24.732
2026-05-05 12:50:39+00,11.550000000000011,24.72
2026-05-05 12:50:40+00,11.560000000000002,24.708
2026-05-05 12:50:41+00,11.550000000000011,24.66
2026-05-05 12:50:42+00,11.550000000000011,24.66
2026-05-05 12:50:43+00,11.550000000000011,24.636
2026-05-05 12:50:44+00,11.550000000000011,24.624
2026-05-05 12:50:45+00,11.550000000000011,24.624
2026-05-05 12:50:46+00,11.560000000000002,24.588
2026-05-05 12:50:47+00,11.57000000000005,24.576
2026-05-05 12:50:48+00,11.57000000000005,24.576
2026-05-05 12:50:49+00,11.580000000000041,24.576
2026-05-05 12:50:50+00,11.600000000000023,24.54
2026-05-05 12:50:51+00,11.600000000000023,24.528
2026-05-05 12:50:52+00,11.600000000000023,24.528
2026-05-05 12:50:53+00,11.610000000000014,24.528
2026-05-05 12:50:54+00,11.620000000000005,24.516
2026-05-05 12:50:55+00,11.640000000000043,24.504
2026-05-05 12:50:56+00,11.650000000000034,24.48
2026-05-05 12:50:57+00,11.660000000000025,24.48
2026-05-05 12:50:58+00,11.670000000000016,24.48
2026-05-05 12:50:59+00,11.689999999999998,24.468
2026-05-05 12:51:00+00,11.710000000000036,24.48
2026-05-05 12:51:01+00,11.720000000000027,24.456
2026-05-05 12:51:02+00,11.740000000000009,24.444
2026-05-05 12:51:03+00,11.760000000000048,24.444
2026-05-05 12:51:04+00,11.78000000000003,24.444
2026-05-05 12:51:05+00,11.800000000000011,24.444
2026-05-05 12:51:06+00,11.82000000000005,24.432
2026-05-05 12:51:07+00,11.850000000000023,24.432
2026-05-05 12:51:08+00,11.870000000000005,24.42
2026-05-05 12:51:09+00,11.890000000000043,24.396
2026-05-05 12:51:10+00,11.910000000000025,24.396
2026-05-05 12:51:11+00,11.939999999999998,24.396
2026-05-05 12:51:12+00,11.960000000000036,24.396
2026-05-05 12:51:13+00,11.980000000000018,24.396
2026-05-05 12:51:14+00,12,24.396
2026-05-05 12:51:15+00,12.03000000000003,24.396
2026-05-05 12:51:16+00,12.060000000000002,24.396
2026-05-05 12:51:17+00,12.080000000000041,24.396
2026-05-05 12:51:18+00,12.100000000000023,24.396
2026-05-05 12:51:19+00,12.129999999999995,24.396
2026-05-05 12:51:20+00,12.150000000000034,24.396
2026-05-05 12:51:21+00,12.180000000000007,24.396
2026-05-05 12:51:22+00,12.210000000000036,24.384
2026-05-05 12:51:23+00,12.240000000000009,24.372
2026-05-05 12:51:24+00,12.260000000000048,24.372
2026-05-05 12:51:25+00,12.29000000000002,24.348
2026-05-05 12:51:26+00,12.310000000000002,24.348
2026-05-05 12:51:27+00,12.330000000000041,24.348
2026-05-05 12:51:28+00,12.360000000000014,24.348
