time,Channel 1,Pin 1 Duty Cycle,Pin 1 Power (W)
2026-03-24 18:47:55+00,281.41,41.999999999991644,10.583999999997895
2026-03-24 18:48:00+00,281.40600000000006,42.699999999994986,10.760399999998736
2026-03-24 18:48:05+00,281.39,44.44999999999936,11.20139999999984
2026-03-24 18:48:10+00,281.36800000000005,48.64999999999554,12.259799999998878
2026-03-24 18:48:15+00,281.33799999999997,53.199999999995384,13.406399999998836
2026-03-24 18:48:20+00,281.31399999999996,58.44999999999658,14.729399999999137
2026-03-24 18:48:25+00,281.27599999999995,64.74999999999682,16.316999999999197
2026-03-24 18:48:30+00,281.23400000000004,72.09999999999411,18.169199999998515
2026-03-24 18:48:35+00,281.196,78.39999999999833,19.75679999999958
2026-03-24 18:48:40+00,281.158,85.04999999999427,21.432599999998555
2026-03-24 18:48:45+00,281.12600000000003,90.64999999999714,22.843799999999277
2026-03-24 18:48:50+00,281.09799999999996,96.5999999999957,24.343199999998916
2026-03-24 18:48:55+00,281.07599999999996,99.4999999999996,25.073999999999902
2026-03-24 18:49:00+00,281.06399999999996,100,25.2
2026-03-24 18:49:05+00,281.054,100,25.2
2026-03-24 18:49:10+00,281.054,100,25.2
2026-03-24 18:49:15+00,281.06,100,25.2
2026-03-24 18:49:20+00,281.07,100,25.2
2026-03-24 18:49:25+00,281.082,99.39999999999912,25.04879999999978
2026-03-24 18:49:30+00,281.09800000000007,96.5999999999957,24.343199999998916
2026-03-24 18:49:35+00,281.116,93.79999999999427,23.637599999998553
2026-03-24 18:49:40+00,281.134,90.29999999999745,22.755599999999358
2026-03-24 18:49:45+00,281.158,86.44999999999698,21.785399999999235
2026-03-24 18:49:50+00,281.182,81.89999999999515,20.638799999998774
2026-03-24 18:49:55+00,281.20799999999997,76.99999999999562,19.403999999998895
2026-03-24 18:50:00+00,281.232,72.79999999999347,18.345599999998353
2026-03-24 18:50:05+00,281.254,68.94999999999698,17.37539999999924
2026-03-24 18:50:10+00,281.27599999999995,66.14999999999952,16.669799999999878
2026-03-24 18:50:15+00,281.294,63.3499999999961,15.964199999999016
2026-03-24 18:50:20+00,281.302,60.89999999999435,15.346799999998575
2026-03-24 18:50:25+00,281.31,60.199999999994986,15.170399999998736
2026-03-24 18:50:30+00,281.304,60.199999999994986,15.170399999998736
2026-03-24 18:50:35+00,281.296,61.949999999993395,15.611399999998335
2026-03-24 18:50:40+00,281.284,63.69999999999578,16.052399999998936
2026-03-24 18:50:45+00,281.268,66.84999999999889,16.84619999999972
2026-03-24 18:50:50+00,281.246,70.69999999999538,17.816399999998836
2026-03-24 18:50:55+00,281.228,73.14999999999316,18.433799999998275
2026-03-24 18:51:00+00,281.204,77.3499999999973,19.492199999999322
2026-03-24 18:51:05+00,281.184,81.54999999999546,20.550599999998855
2026-03-24 18:51:10+00,281.16400000000004,84.6999999999926,21.344399999998135
2026-03-24 18:51:15+00,281.14399999999995,88.19999999999936,22.226399999999842
2026-03-24 18:51:20+00,281.13,91.3499999999965,23.020199999999114
2026-03-24 18:51:25+00,281.116,93.44999999999459,23.549399999998638
2026-03-24 18:51:30+00,281.11199999999997,94.49999999999363,23.813999999998394
2026-03-24 18:51:35+00,281.108,94.84999999999332,23.902199999998317
2026-03-24 18:51:40+00,281.11,94.49999999999363,23.813999999998394
2026-03-24 18:51:45+00,281.122,93.0999999999949,23.46119999999872
2026-03-24 18:51:50+00,281.134,90.64999999999714,22.843799999999277
2026-03-24 18:51:55+00,281.148,87.49999999999801,22.049999999999496
2026-03-24 18:52:00+00,281.168,85.04999999999228,21.432599999998057
2026-03-24 18:52:05+00,281.188,80.8499999999961,20.374199999999014
2026-03-24 18:52:10+00,281.214,76.64999999999395,19.315799999998475
2026-03-24 18:52:15+00,281.236,72.79999999999347,18.345599999998353
2026-03-24 18:52:20+00,281.258,69.29999999999666,17.463599999999158
2026-03-24 18:52:25+00,281.27599999999995,65.45000000000016,16.493400000000044
2026-03-24 18:52:30+00,281.29200000000003,63.34999999999411,15.964199999998517
2026-03-24 18:52:35+00,281.3,61.24999999999403,15.434999999998496
2026-03-24 18:52:40+00,281.302,60.199999999994986,15.170399999998736
2026-03-24 18:52:45+00,281.304,60.54999999999467,15.258599999998657
2026-03-24 18:52:50+00,281.294,61.949999999993395,15.611399999998335
2026-03-24 18:52:55+00,281.286,63.69999999999578,16.052399999998936
2026-03-24 18:53:00+00,281.274,66.14999999999952,16.669799999999878
2026-03-24 18:53:05+00,281.26,67.89999999999793,17.11079999999948
2026-03-24 18:53:10+00,281.238,71.39999999999475,17.992799999998674
2026-03-24 18:53:15+00,281.22,74.89999999999355,18.874799999998373
2026-03-24 18:53:20+00,281.2,78.39999999999833,19.75679999999958
2026-03-24 18:53:25+00,281.18,81.54999999999546,20.550599999998855
2026-03-24 18:53:30+00,281.16600000000005,84.34999999999292,21.256199999998213
2026-03-24 18:53:35+00,281.15199999999993,86.79999999999666,21.873599999999158
2026-03-24 18:53:40+00,281.142,88.19999999999936,22.22639999999984
2026-03-24 18:53:45+00,281.13599999999997,89.24999999999841,22.490999999999598
2026-03-24 18:53:50+00,281.134,90.64999999999714,22.843799999999277
2026-03-24 18:53:55+00,281.14,89.24999999999841,22.490999999999598
2026-03-24 18:54:00+00,281.146,88.19999999999737,22.226399999999337
2026-03-24 18:54:05+00,281.158,86.0999999999953,21.69719999999882
2026-03-24 18:54:10+00,281.168,84.34999999999292,21.256199999998216
2026-03-24 18:54:15+00,281.19,81.89999999999515,20.638799999998778
2026-03-24 18:54:20+00,281.206,78.04999999999666,19.668599999999156
2026-03-24 18:54:25+00,281.226,74.19999999999419,18.698399999998536
2026-03-24 18:54:30+00,281.242,71.74999999999443,18.080999999998593
2026-03-24 18:54:35+00,281.258,69.29999999999666,17.463599999999158
2026-03-24 18:54:40+00,281.272,66.84999999999889,16.84619999999972
2026-03-24 18:54:45+00,281.28,65.10000000000048,16.40520000000012
2026-03-24 18:54:50+00,281.28599999999994,63.34999999999411,15.964199999998517
